Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",136.200000,-96.600000,-90.000000,bottom
"U1","MSW_Logo","MSW",148.300000,-106.650000,0.000000,bottom
